State,Total law enforcement employees,"Total
officers",NA,"Total
civilians",NA,"Number 
of 
agencies","2008 
estimated 
population"
ALABAMA,16172,9988,787,2005,3392,350,4437374
ALASKA,1963,1144,116,234,469,43,686293
ARIZONA,22912,11520,1380,4537,5475,95,6382545
ARKANSAS,9678,5560,504,1326,2288,275,2850876
CALIFORNIA,123506,70594,10692,14739,27481,459,31804738
COLORADO,16859,10117,1491,1711,3540,224,4869988
CONNECTICUT,10657,7845,787,812,1213,102,3501252
DELAWARE,3159,1998,298,323,540,52,871838
"DISTRICT OF COLUMBIA
",5190,3455,1000,291,444,2,591833
FLORIDA,73872,38114,6362,10849,18547,402,18297732
GEORGIA,33209,20514,3775,2996,5924,427,8931253
HAWAII,3795,2687,310,245,553,4,1288198
IDAHO,4461,2512,174,520,1255,106,1519310
ILLINOIS,52561,31496,5752,7392,7921,749,12846505
INDIANA,15877,9690,770,2469,2948,222,5623508
IOWA,8031,4770,398,1093,1770,232,2967083
KANSAS,10284,6198,613,1416,2057,331,2550708
KENTUCKY,10188,7275,534,1026,1353,365,4141804
LOUISIANA,22621,13960,3346,1586,3729,200,4293435
MAINE,2961,2107,138,308,408,133,1315497
MARYLAND,20797,13538,2081,1988,3190,132,5456159
MASSACHUSETTS,20173,15250,1359,1490,2074,331,6281021
MICHIGAN,26495,17010,2494,3028,3963,618,9948437
MINNESOTA,13697,7805,1063,2005,2824,320,5145905
MISSISSIPPI,8243,4648,429,1271,1895,167,2489444
MISSOURI,20319,13039,1398,2231,3651,578,5860645
MONTANA,2661,1545,106,445,565,104,931062
NEBRASKA,4810,3106,385,342,977,165,1770070
NEVADA,8841,5194,534,866,2247,37,2600167
NEW HAMPSHIRE,3373,2367,199,245,562,147,1156970
NEW JERSEY,42022,29640,2739,3669,5974,546,8400257
NEW MEXICO,5765,3730,390,548,1097,97,1805058
NEW YORK,80949,52722,8607,5780,13840,342,18103583
NORTH CAROLINA,32028,19488,2563,4368,5609,499,9189952
NORTH DAKOTA,1673,1110,114,179,270,100,640830
OHIO,31469,19541,2309,4014,5605,607,9715611
OKLAHOMA,11553,7002,693,1578,2280,304,3642361
OREGON,9965,5276,614,1702,2373,202,3752587
PENNSYLVANIA,29641,22290,2698,1792,2861,937,9356098
RHODE ISLAND,3240,2403,180,299,358,48,1050788
SOUTH CAROLINA,15316,10061,1288,1395,2572,381,4479234
SOUTH DAKOTA,2273,1347,85,344,497,142,800171
TENNESSEE,25067,14016,1513,4366,5172,449,6209570
TEXAS,87479,46909,5766,14755,20049,1004,24229899
UTAH,7719,4362,344,1516,1497,131,2735255
VERMONT,1299,874,81,116,228,43,271869
VIRGINIA,23748,16265,2193,1446,3844,279,7767656
WASHINGTON,14980,9605,1000,1471,2904,245,6538812
WEST VIRGINIA1,NA,NA,NA,NA,NA,NA,NA
WISCONSIN,18648,11230,1808,2061,3549,376,5607356
WYOMING,2029,1285,107,153,484,65,528864
