State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
ALABAMA,Metropolitan Statistical Area,,"3,708,033",,,0,,,,,,
ALABAMA,Metropolitan Statistical Area,Area actually reporting,97.10%,"18,122",283,2576,"4,080","12,263","113,447","27,208","78,141","8,098"
ALABAMA,Metropolitan Statistical Area,Estimated total,100.00%,"18,500",287,2648,"4,138","12,538","115,920","27,852","79,799","8,269"
ALABAMA,Cities outside metropolitan areas,,"522,241",,,0,,,,,,
ALABAMA,ALABAMA,Area actually reporting,97.40%,"3,178",32,529,354,"2,481","20,873","4,438","15,106","1,329"
ALABAMA,ALABAMA,Estimated total,100.00%,"3,240",33,537,360,"2,532","21,203","4,518","15,329","1,356"
ALABAMA,Nonmetropolitan counties,,"628,705",,,0,,,,,,
ALABAMA,ALABAMA,Area actually reporting,99.40%,"1,205",28,308,112,879,"7,578","2,868","4,004",706
ALABAMA,ALABAMA,Estimated total,100.00%,"1,212",28,310,113,884,"7,623","2,885","4,028",710
ALABAMA,State Total,,"4,858,979","22,952",348,3495,"4,611","15,954","144,746","35,255","99,156","10,335"
ALABAMA,ALABAMA,"Rate per 100,000 inhabitants",,472.4,7.2,72,94.9,328.3,"2,978.90",725.6,"2,040.70",212.7
ALASKA,Metropolitan Statistical Area,,"351,857",,,0,,,,,,
ALASKA,Metropolitan Statistical Area,Area actually reporting,100.00%,"3,464",27,942,658,"2,238","14,151","1,919","10,884","1,348"
ALASKA,Cities outside metropolitan areas,,"127,499",,,0,,,,,,
ALASKA,ALASKA,Area actually reporting,97.20%,886,10,306,60,638,"3,523",530,"2,737",256
ALASKA,ALASKA,Estimated total,100.00%,913,10,317,62,657,"3,625",545,"2,817",263
ALASKA,Nonmetropolitan counties,,"259,076",,,0,,,,,,
ALASKA,ALASKA,Area actually reporting,100.00%,"1,015",22,292,41,776,"3,030","1,047","1,548",435
ALASKA,State Total,,"738,432","5,392",59,1551,761,"3,671","20,806","3,511","15,249","2,046"
ALASKA,ALASKA,"Rate per 100,000 inhabitants",,730.2,8,210,103.1,497.1,"2,817.60",475.5,"2,065.10",277.1
ARIZONA,Metropolitan Statistical Area,,"6,479,810",,,0,,,,,,
ARIZONA,Metropolitan Statistical Area,Area actually reporting,99.70%,"24,725",280,4877,"6,239","15,401","198,411","35,919","146,431","16,061"
ARIZONA,Metropolitan Statistical Area,Estimated total,100.00%,"24,781",280,4888,"6,251","15,439","198,994","36,015","146,882","16,097"
ARIZONA,Cities outside metropolitan areas,,"124,240",,,0,,,,,,
ARIZONA,ARIZONA,Area actually reporting,93.90%,"2,678",24,468,91,"2,294","5,854","1,280","4,095",479
ARIZONA,ARIZONA,Estimated total,100.00%,"2,851",26,496,97,"2,442","6,233","1,363","4,360",510
ARIZONA,Nonmetropolitan counties,,"224,015",,,0,,,,,,
ARIZONA,ARIZONA,Area actually reporting,100.00%,380,3,18,12,354,"1,880",579,"1,123",178
ARIZONA,State Total,,"6,828,065","28,012",309,5402,"6,360","18,235","207,107","37,957","152,365","16,785"
ARIZONA,ARIZONA,"Rate per 100,000 inhabitants",,410.2,4.5,79.1,93.1,267.1,"3,033.20",555.9,"2,231.50",245.8
ARKANSAS,Metropolitan Statistical Area,,"1,837,196",,,0,,,,,,
ARKANSAS,Metropolitan Statistical Area,Area actually reporting,99.90%,"10,724",124,1971,"1,673","7,794","67,157","14,402","48,559","4,196"
ARKANSAS,Metropolitan Statistical Area,Estimated total,100.00%,"10,727",124,1973,"1,673","7,796","67,180","14,407","48,576","4,197"
ARKANSAS,Cities outside metropolitan areas,,"515,124",,,0,,,,,,
ARKANSAS,ARKANSAS,Area actually reporting,89.30%,"2,724",36,654,333,"1,949","17,524","4,692","12,108",724
ARKANSAS,ARKANSAS,Estimated total,100.00%,"3,057",40,751,373,"2,182","19,622","5,254","13,557",811
ARKANSAS,Nonmetropolitan counties,,"625,884",,,0,,,,,,
ARKANSAS,ARKANSAS,Area actually reporting,90.10%,"1,559",15,435,47,"1,205","9,036","2,683","5,665",688
ARKANSAS,ARKANSAS,Estimated total,100.00%,"1,742",17,507,52,"1,338","10,034","2,979","6,291",764
ARKANSAS,State Total,,"2,978,204","15,526",181,3231,"2,098","11,316","96,836","22,640","68,424","5,772"
ARKANSAS,ARKANSAS,"Rate per 100,000 inhabitants",,521.3,6.1,108.5,70.4,380,"3,251.50",760.2,"2,297.50",193.8
CALIFORNIA,Metropolitan Statistical Area,,"38,317,995",,,0,,,,,,
CALIFORNIA,Metropolitan Statistical Area,Area actually reporting,99.90%,"163,195","1,815",21527,"52,439","96,530","1,006,421","192,016","645,773","168,632"
CALIFORNIA,Metropolitan Statistical Area,Estimated total,100.00%,"163,219","1,815",21530,"52,447","96,544","1,006,607","192,051","645,895","168,661"
CALIFORNIA,Cities outside metropolitan areas,,"268,497",,,0,,,,,,
CALIFORNIA,CALIFORNIA,Area actually reporting,100.00%,"1,630",15,257,245,"1,219","9,889","2,189","6,747",953
CALIFORNIA,Nonmetropolitan counties,,"558,326",,,0,,,,,,
CALIFORNIA,CALIFORNIA,Area actually reporting,100.00%,"2,034",31,411,170,"1,586","8,418","3,164","3,875","1,379"
CALIFORNIA,State Total,,"39,144,818","166,883","1,861",22198,"52,862","99,349","1,024,914","197,404","656,517","170,993"
CALIFORNIA,CALIFORNIA,"Rate per 100,000 inhabitants",,426.3,4.8,56.7,135,253.8,"2,618.30",504.3,"1,677.10",436.8
COLORADO,Metropolitan Statistical Area,,"4,763,884",,,0,,,,,,
COLORADO,Metropolitan Statistical Area,Area actually reporting,99.90%,"16,306",164,5187,"3,235","9,916","131,216","21,077","94,787","15,352"
COLORADO,Metropolitan Statistical Area,Estimated total,100.00%,"16,308",164,5187,"3,235","9,918","131,247","21,081","94,811","15,355"
COLORADO,Cities outside metropolitan areas,,"335,080",,,0,,,,,,
COLORADO,COLORADO,Area actually reporting,96.90%,750,6,286,75,502,"9,539","1,440","7,708",391
COLORADO,COLORADO,Estimated total,100.00%,771,6,292,77,518,"9,842","1,486","7,953",403
COLORADO,Nonmetropolitan counties,,"357,610",,,0,,,,,,
COLORADO,COLORADO,Area actually reporting,98.40%,430,6,153,11,318,"2,999",873,"1,888",238
COLORADO,COLORADO,Estimated total,100.00%,436,6,155,11,323,"3,047",887,"1,918",242
COLORADO,State Total,,"5,456,574","17,515",176,5634,"3,323","10,759","144,136","23,454","104,682","16,000"
COLORADO,COLORADO,"Rate per 100,000 inhabitants",,321,3.2,103.3,60.9,197.2,"2,641.50",429.8,"1,918.50",293.2
CONNECTICUT,Metropolitan Statistical Area,,"2,951,843",,,0,,,,,,
CONNECTICUT,Metropolitan Statistical Area,Area actually reporting,100.00%,"7,441",102,1215,"2,819","3,826","59,961","9,050","44,991","5,920"
CONNECTICUT,Cities outside metropolitan areas,,"114,485",,,0,,,,,,
CONNECTICUT,CONNECTICUT,Area actually reporting,100.00%,110,1,43,27,59,"1,968",269,"1,606",93
CONNECTICUT,Nonmetropolitan counties,,"524,558",,,0,,,,,,
CONNECTICUT,CONNECTICUT,Area actually reporting,100.00%,294,14,97,46,178,"3,137",734,"2,078",325
CONNECTICUT,State Total,,"3,590,886","7,845",117,1355,"2,892","4,063","65,066","10,053","48,675","6,338"
CONNECTICUT,CONNECTICUT,"Rate per 100,000 inhabitants",,218.5,3.3,37.7,80.5,113.1,"1,812.00",280,"1,355.50",176.5
DELAWARE,Metropolitan Statistical Area,,"945,934",,,0,,,,,,
DELAWARE,Metropolitan Statistical Area,Area actually reporting,100.00%,"4,720",63,584,"1,235","3,081","25,454","4,772","19,501","1,181"
DELAWARE,Cities outside metropolitan areas,,None,,,0,,,,,,
DELAWARE,Nonmetropolitan counties,,None,,,0,,,,,,
DELAWARE,DELAWARE,Area actually reporting,100.00%,0,0,0,0,0,1,1,0,0
DELAWARE,State Total,,"945,934","4,720",63,584,"1,235","3,081","25,455","4,773","19,501","1,181"
DELAWARE,DELAWARE,"Rate per 100,000 inhabitants",,499,6.7,61.7,130.6,325.7,"2,691.00",504.6,"2,061.60",124.9
DISTRICT OF COLUMBIA4,Metropolitan Statistical Area,,"672,228",,,0,,,,,,
DISTRICT OF COLUMBIA4,Metropolitan Statistical Area,Area actually reporting,100.00%,"8,531",162,860,"3,742","4,133","31,435","2,971","25,200","3,264"
DISTRICT OF COLUMBIA4,Cities outside metropolitan areas,,None,,,0,,,,,,
DISTRICT OF COLUMBIA4,Nonmetropolitan counties,,None,,,0,,,,,,
DISTRICT OF COLUMBIA4,Total,,"672,228","8,531",162,860,"3,742","4,133","31,435","2,971","25,200","3,264"
DISTRICT OF COLUMBIA4,DISTRICT OF COLUMBIA4,"Rate per 100,000 inhabitants",,"1,269.10",24.1,127.9,556.7,614.8,"4,676.20",442,"3,748.70",485.5
FLORIDA,Metropolitan Statistical Area,,"19,564,380",,,0,,,,,,
FLORIDA,Metropolitan Statistical Area,Area actually reporting,99.80%,"89,825",999,12594,"20,811","60,694","553,343","104,601","408,936","39,806"
FLORIDA,Metropolitan Statistical Area,Estimated total,100.00%,"89,966","1,000",12617,"20,843","60,789","554,303","104,776","409,655","39,872"
FLORIDA,Cities outside metropolitan areas,,"147,871",,,0,,,,,,
FLORIDA,FLORIDA,Area actually reporting,96.60%,"1,032",12,91,160,806,"5,799","1,224","4,299",276
FLORIDA,FLORIDA,Estimated total,100.00%,"1,067",12,93,166,834,"6,001","1,267","4,448",286
FLORIDA,Nonmetropolitan counties,,"559,021",,,0,,,,,,
FLORIDA,FLORIDA,Area actually reporting,98.50%,"2,555",29,270,126,"2,238","9,815","3,176","6,144",495
FLORIDA,FLORIDA,Estimated total,100.00%,"2,593",29,273,128,"2,272","9,966","3,225","6,238",503
FLORIDA,State Total,,"20,271,272","93,626","1,041",12983,"21,137","63,895","570,270","109,268","420,341","40,661"
FLORIDA,FLORIDA,"Rate per 100,000 inhabitants",,461.9,5.1,64.1,104.3,315.2,"2,813.20",539,"2,073.60",200.6
GEORGIA5,Metropolitan Statistical Area,,"8,441,820",,,0,,,,,,
GEORGIA5,Metropolitan Statistical Area,Area actually reporting,97.20%,"32,186",508,4413,"11,058","18,052","253,823","53,387","176,339","24,097"
GEORGIA5,Metropolitan Statistical Area,Estimated total,100.00%,"32,948",518,4522,"11,314","18,485","260,183","54,795","180,700","24,688"
GEORGIA5,Cities outside metropolitan areas,,"643,253",,,0,,,,,,
GEORGIA5,GEORGIA5,Area actually reporting,92.60%,"2,910",41,449,691,"1,920","26,480","5,213","20,516",751
GEORGIA5,GEORGIA5,Estimated total,100.00%,"3,132",44,471,746,"2,073","28,595","5,629","22,155",811
GEORGIA5,Nonmetropolitan counties,,"1,129,787",,,0,,,,,,
GEORGIA5,GEORGIA5,Area actually reporting,91.10%,"2,334",48,480,170,"1,822","18,179","5,423","11,860",896
GEORGIA5,GEORGIA5,Estimated total,100.00%,"2,563",53,527,187,"1,999","19,945","5,950","13,012",983
GEORGIA5,State Total,,"10,214,860","38,643",615,5520,"12,247","22,557","308,723","66,374","215,867","26,482"
GEORGIA5,GEORGIA5,"Rate per 100,000 inhabitants",,378.3,6,54.1,119.9,220.8,"3,022.30",649.8,"2,113.30",259.2
HAWAII,Metropolitan Statistical Area,,"1,164,233",,,0,,,,,,
HAWAII,Metropolitan Statistical Area,Area actually reporting,100.00%,"2,994",19,714,"1,009","1,554","37,090","5,291","27,346","4,453"
HAWAII,Cities outside metropolitan areas,,None,,,0,,,,,,
HAWAII,Nonmetropolitan counties,,"267,370",,,0,,,,,,
HAWAII,HAWAII,Estimated total,100.00%,"1,207",0,247,194,864,"17,256","1,266","14,664","1,326"
HAWAII,State Total,,"1,431,603","4,201",19,961,"1,203","2,418","54,346","6,557","42,010","5,779"
HAWAII,HAWAII,"Rate per 100,000 inhabitants",,293.4,1.3,67.1,84,168.9,"3,796.20",458,"2,934.50",403.7
IDAHO,Metropolitan Statistical Area,,"1,104,754",,,0,,,,,,
IDAHO,Metropolitan Statistical Area,Area actually reporting,99.90%,"2,537",19,866,150,"1,871","20,974","4,039","15,529","1,406"
IDAHO,Metropolitan Statistical Area,Estimated total,100.00%,"2,538",19,866,150,"1,872","20,984","4,041","15,536","1,407"
IDAHO,Cities outside metropolitan areas,,"253,084",,,0,,,,,,
IDAHO,IDAHO,Area actually reporting,100.00%,598,7,226,34,435,"4,927","1,056","3,644",227
IDAHO,Nonmetropolitan counties,,"297,092",,,0,,,,,,
IDAHO,IDAHO,Area actually reporting,100.00%,432,6,135,8,343,"2,947","1,027","1,683",237
IDAHO,State Total,,"1,654,930","3,568",32,1227,192,"2,650","28,858","6,124","20,863","1,871"
IDAHO,IDAHO,"Rate per 100,000 inhabitants",,215.6,1.9,74.1,11.6,160.1,"1,743.80",370,"1,260.70",113.1
ILLINOIS,Metropolitan Statistical Area,,"11,374,234",,,0,,,,,,
ILLINOIS,Metropolitan Statistical Area,Area actually reporting,96.30%,"44,926",690,7039,"14,460","25,726","226,018","40,306","169,148","16,564"
ILLINOIS,Metropolitan Statistical Area,Estimated total,100.00%,"45,743",697,7279,"14,654","26,206","232,866","41,454","174,548","16,864"
ILLINOIS,Cities outside metropolitan areas,,"829,658",,,0,,,,,,
ILLINOIS,ILLINOIS,Area actually reporting,83.30%,"2,168",18,614,182,"1,611","14,824","2,931","11,494",399
ILLINOIS,ILLINOIS,Estimated total,100.00%,"2,601",22,742,218,"1,935","17,801","3,520","13,802",479
ILLINOIS,Nonmetropolitan counties,,"656,103",,,0,,,,,,
ILLINOIS,ILLINOIS,Area actually reporting,94.20%,950,24,326,36,695,"4,766","1,383","3,092",291
ILLINOIS,ILLINOIS,Estimated total,100.00%,"1,010",25,349,38,738,"5,062","1,469","3,284",309
ILLINOIS,State Total,,"12,859,995","49,354",744,8370,"14,910","28,879","255,729","46,443","191,634","17,652"
ILLINOIS,ILLINOIS,"Rate per 100,000 inhabitants",,383.8,5.8,65.1,115.9,224.6,"1,988.60",361.1,"1,490.20",137.3
INDIANA6,Metropolitan Statistical Area,,"5,150,613",,,0,,,,,,
INDIANA6,Metropolitan Statistical Area,Area actually reporting,88.20%,"21,779",323,3237,"6,625","12,978","136,529","27,995","97,087","11,447"
INDIANA6,Metropolitan Statistical Area,Estimated total,100.00%,"22,994",335,3458,"6,851","13,829","148,065","29,832","105,957","12,276"
INDIANA6,Cities outside metropolitan areas,,"522,395",,,0,,,,,,
INDIANA6,INDIANA6,Area actually reporting,70.30%,"1,152",12,272,135,847,"10,471","1,470","8,505",496
INDIANA6,INDIANA6,Estimated total,100.00%,"1,636",17,389,192,"1,204","14,889","2,090","12,094",705
INDIANA6,Nonmetropolitan counties,,"946,672",,,0,,,,,,
INDIANA6,INDIANA6,Area actually reporting,72.20%,729,15,241,49,528,"6,417","1,795","4,234",388
INDIANA6,INDIANA6,Estimated total,100.00%,"1,023",21,346,68,732,"8,893","2,488","5,867",538
INDIANA6,State Total,,"6,619,680","25,653",373,4193,"7,111","15,765","171,847","34,410","123,918","13,519"
INDIANA6,INDIANA6,"Rate per 100,000 inhabitants",,387.5,5.6,63.3,107.4,238.2,"2,596.00",519.8,"1,872.00",204.2
IOWA,Metropolitan Statistical Area,,"1,840,338",,,0,,,,,,
IOWA,Metropolitan Statistical Area,Area actually reporting,99.30%,"5,986",53,1363,894,"4,257","44,884","9,734","31,932","3,218"
IOWA,Metropolitan Statistical Area,Estimated total,100.00%,"6,018",53,1372,896,"4,282","45,107","9,777","32,102","3,228"
IOWA,Cities outside metropolitan areas,,"594,976",,,0,,,,,,
IOWA,IOWA,Area actually reporting,96.60%,"2,110",9,441,136,"1,716","14,168","3,412","10,030",726
IOWA,IOWA,Estimated total,100.00%,"2,184",9,457,141,"1,776","14,659","3,530","10,378",751
IOWA,Nonmetropolitan counties,,"688,585",,,0,,,,,,
IOWA,IOWA,Area actually reporting,100.00%,734,10,178,10,603,"4,191","1,585","2,243",363
IOWA,State Total,,"3,123,899","8,936",72,2007,"1,047","6,661","63,957","14,892","44,723","4,342"
IOWA,IOWA,"Rate per 100,000 inhabitants",,286.1,2.3,64.2,33.5,213.2,"2,047.30",476.7,"1,431.60",139
KANSAS,Metropolitan Statistical Area,,"1,965,292",,,0,,,,,,
KANSAS,Metropolitan Statistical Area,Area actually reporting,97.60%,"8,382",93,2117,"1,616","5,484","57,049","10,398","40,905","5,746"
KANSAS,Metropolitan Statistical Area,Estimated total,100.00%,"8,473",93,2136,"1,627","5,553","57,942","10,562","41,561","5,819"
KANSAS,Cities outside metropolitan areas,,"607,622",,,0,,,,,,
KANSAS,KANSAS,Area actually reporting,94.00%,"2,022",24,522,165,"1,542","15,954","2,972","12,236",746
KANSAS,KANSAS,Estimated total,100.00%,"2,147",26,547,176,"1,640","16,973","3,162","13,017",794
KANSAS,Nonmetropolitan counties,,"338,727",,,0,,,,,,
KANSAS,KANSAS,Area actually reporting,97.00%,711,9,176,15,581,"4,156","1,589","2,233",334
KANSAS,KANSAS,Estimated total,100.00%,733,9,183,15,599,"4,284","1,638","2,302",344
KANSAS,State Total,,"2,911,641","11,353",128,2866,"1,818","7,792","79,199","15,362","56,880","6,957"
KANSAS,KANSAS,"Rate per 100,000 inhabitants",,389.9,4.4,98.5,62.4,267.6,"2,720.10",527.6,"1,953.50",238.9
KENTUCKY,Metropolitan Statistical Area,,"2,589,701",,,0,,,,,,
KENTUCKY,Metropolitan Statistical Area,Area actually reporting,100.00%,"7,446",124,1425,"2,836","3,634","72,101","15,154","50,770","6,177"
KENTUCKY,Cities outside metropolitan areas,,"540,143",,,0,,,,,,
KENTUCKY,KENTUCKY,Area actually reporting,99.90%,906,13,293,312,411,"14,227","2,833","10,763",631
KENTUCKY,KENTUCKY,Estimated total,100.00%,906,13,293,312,411,"14,235","2,835","10,769",631
KENTUCKY,Nonmetropolitan counties,,"1,295,248",,,0,,,,,,
KENTUCKY,KENTUCKY,Area actually reporting,100.00%,"1,324",72,771,159,623,"10,026","4,271","4,781",974
KENTUCKY,State Total,,"4,425,092","9,676",209,2489,"3,307","4,668","96,362","22,260","66,320","7,782"
KENTUCKY,KENTUCKY,"Rate per 100,000 inhabitants",,218.7,4.7,56.2,74.7,105.5,"2,177.60",503,"1,498.70",175.9
LOUISIANA,Metropolitan Statistical Area,,"3,907,874",,,0,,,,,,
LOUISIANA,Metropolitan Statistical Area,Area actually reporting,98.00%,"21,722",433,2635,"5,123","14,644","133,837","29,607","95,453","8,777"
LOUISIANA,Metropolitan Statistical Area,Estimated total,100.00%,"22,042",436,2674,"5,173","14,889","136,310","30,124","97,285","8,901"
LOUISIANA,Cities outside metropolitan areas,,"248,611",,,0,,,,,,
LOUISIANA,LOUISIANA,Area actually reporting,90.50%,"1,603",18,117,263,"1,254","11,274","2,819","8,148",307
LOUISIANA,LOUISIANA,Estimated total,100.00%,"1,774",20,134,291,"1,386","12,457","3,115","9,003",339
LOUISIANA,Nonmetropolitan counties,,"514,239",,,0,,,,,,
LOUISIANA,LOUISIANA,Area actually reporting,97.00%,"1,350",24,170,83,"1,144","7,628","2,148","4,994",486
LOUISIANA,LOUISIANA,Estimated total,100.00%,"1,392",25,175,86,"1,179","7,862","2,214","5,147",501
LOUISIANA,State Total,,"4,670,724","25,208",481,2983,"5,550","17,454","156,629","35,453","111,435","9,741"
LOUISIANA,LOUISIANA,"Rate per 100,000 inhabitants",,539.7,10.3,63.9,118.8,373.7,"3,353.40",759,"2,385.80",208.6
MAINE6,Metropolitan Statistical Area,,"785,828",,,0,,,,,,
MAINE6,Metropolitan Statistical Area,Area actually reporting,100.00%,996,7,396,245,522,"14,577","2,607","11,513",457
MAINE6,Cities outside metropolitan areas,,"265,131",,,0,,,,,,
MAINE6,MAINE6,Area actually reporting,100.00%,464,10,297,55,230,"6,636","1,061","5,393",182
