State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
ALABAMA4,Metropolitan Statistical Area,,"3,692,100",,,0,,,,,,
ALABAMA4,Metropolitan Statistical Area,Area actually reporting,95.50%,"16,204",232,2468,"4,131","10,406","118,226","29,903","80,430","7,893"
ALABAMA4,Metropolitan Statistical Area,Estimated total,100.00%,"16,702",236,2570,"4,228","10,744","122,299","31,007","83,126","8,166"
ALABAMA4,Cities outside metropolitan areas,,"529,129",,,0,,,,,,
ALABAMA4,ALABAMA4,Area actually reporting,93.30%,"2,605",17,508,363,"1,931","21,747","5,005","15,516","1,226"
ALABAMA4,ALABAMA4,Estimated total,100.00%,"2,769",18,536,386,"2,055","23,058","5,330","16,420","1,308"
ALABAMA4,Nonmetropolitan counties,,"628,148",,,0,,,,,,
ALABAMA4,ALABAMA4,Area actually reporting,99.40%,"1,247",22,332,86,940,"8,683","3,357","4,663",663
ALABAMA4,ALABAMA4,Estimated total,100.00%,"1,256",22,335,87,946,"8,737","3,378","4,692",667
ALABAMA4,State Total,,"4,849,377","20,727",276,3441,"4,701","13,745","154,094","39,715","104,238","10,141"
ALABAMA4,ALABAMA4,"Rate per 100,000 inhabitants",,427.4,5.7,70.9,96.9,283.4,"3,177.60",819,"2,149.50",209.1
ALASKA4,Metropolitan Statistical Area,,"351,408",,,0,,,,,,
ALASKA4,Metropolitan Statistical Area,Area actually reporting,100.00%,"2,899",17,771,557,"1,883","13,905","1,626","11,148","1,131"
ALASKA4,Cities outside metropolitan areas,,"128,681",,,0,,,,,,
ALASKA4,ALASKA4,Area actually reporting,96.60%,722,3,221,45,546,"3,362",413,"2,702",247
ALASKA4,ALASKA4,Estimated total,100.00%,748,3,231,47,565,"3,480",427,"2,797",256
ALASKA4,Nonmetropolitan counties,,"256,643",,,0,,,,,,
ALASKA4,ALASKA4,Area actually reporting,100.00%,"1,037",21,324,25,795,"2,949","1,097","1,500",352
ALASKA4,State Total,,"736,732","4,684",41,1326,629,"3,243","20,334","3,150","15,445","1,739"
ALASKA4,ALASKA4,"Rate per 100,000 inhabitants",,635.8,5.6,180,85.4,440.2,"2,760.00",427.6,"2,096.40",236
ARIZONA4,Metropolitan Statistical Area,,"6,382,968",,,0,,,,,,
ARIZONA4,Metropolitan Statistical Area,Area actually reporting,98.10%,"24,006",288,4786,"6,117","14,839","201,780","39,504","146,202","16,074"
ARIZONA4,Metropolitan Statistical Area,Estimated total,100.00%,"24,291",293,4836,"6,155","15,052","204,214","40,034","147,926","16,254"
ARIZONA4,Cities outside metropolitan areas,,"123,617",,,0,,,,,,
ARIZONA4,ARIZONA4,Area actually reporting,78.40%,"1,721",20,775,55,"1,194","7,020","2,111","3,996",913
ARIZONA4,ARIZONA4,Estimated total,100.00%,"2,192",25,983,70,"1,523","8,952","2,692","5,096","1,164"
ARIZONA4,Nonmetropolitan counties,,"224,899",,,0,,,,,,
ARIZONA4,ARIZONA4,Area actually reporting,100.00%,433,1,23,24,395,"2,074",836,"1,069",169
ARIZONA4,State Total,,"6,731,484","26,916",319,5842,"6,249","16,970","215,240","43,562","154,091","17,587"
ARIZONA4,ARIZONA4,"Rate per 100,000 inhabitants",,399.9,4.7,86.8,92.8,252.1,"3,197.50",647.1,"2,289.10",261.3
ARKANSAS4,Metropolitan Statistical Area,,"1,818,380",,,0,,,,,,
ARKANSAS4,Metropolitan Statistical Area,Area actually reporting,98.50%,"9,939",109,1657,"1,671","7,201","65,236","15,309","46,042","3,885"
ARKANSAS4,Metropolitan Statistical Area,Estimated total,100.00%,"10,058",109,1688,"1,683","7,290","66,163","15,532","46,704","3,927"
ARKANSAS4,Cities outside metropolitan areas,,"507,788",,,0,,,,,,
ARKANSAS4,ARKANSAS4,Area actually reporting,88.90%,"2,349",27,610,284,"1,655","18,688","5,059","12,892",737
ARKANSAS4,ARKANSAS4,Estimated total,100.00%,"2,648",30,706,319,"1,861","21,015","5,689","14,497",829
ARKANSAS4,Nonmetropolitan counties,,"640,201",,,0,,,,,,
ARKANSAS4,ARKANSAS4,Area actually reporting,87.90%,"1,340",23,466,42,979,"10,407","3,137","6,527",743
ARKANSAS4,ARKANSAS4,Estimated total,100.00%,"1,537",26,551,48,"1,114","11,840","3,569","7,426",845
ARKANSAS4,State Total,,"2,966,369","14,243",165,2945,"2,050","10,265","99,018","24,790","68,627","5,601"
ARKANSAS4,ARKANSAS4,"Rate per 100,000 inhabitants",,480.1,5.6,99.2,69.1,346,"3,338.00",835.7,"2,313.50",188.8
CALIFORNIA5,Metropolitan Statistical Area,,"37,970,617",,,0,,,,,,
CALIFORNIA5,Metropolitan Statistical Area,Area actually reporting,99.90%,"150,171","1,652",19184,"48,278","89,153","928,421","197,039","581,578","149,804"
CALIFORNIA5,Metropolitan Statistical Area,Estimated total,100.00%,"150,192","1,652",19186,"48,285","89,166","928,584","197,074","581,682","149,828"
CALIFORNIA5,Cities outside metropolitan areas,,"268,396",,,0,,,,,,
CALIFORNIA5,CALIFORNIA5,Area actually reporting,100.00%,"1,524",16,294,257,"1,083","10,256","2,635","6,832",789
CALIFORNIA5,Nonmetropolitan counties,,"563,487",,,0,,,,,,
CALIFORNIA5,CALIFORNIA5,Area actually reporting,100.00%,"1,993",31,445,138,"1,554","8,352","2,961","4,156","1,235"
CALIFORNIA5,State Total,,"38,802,500","153,709","1,699",19925,"48,680","91,803","947,192","202,670","592,670","151,852"
CALIFORNIA5,CALIFORNIA5,"Rate per 100,000 inhabitants",,396.1,4.4,51.3,125.5,236.6,"2,441.10",522.3,"1,527.40",391.3
COLORADO4,Metropolitan Statistical Area,,"4,664,010",,,0,,,,,,
COLORADO4,Metropolitan Statistical Area,Area actually reporting,98.50%,"15,229",126,4643,"2,952","9,451","122,570","21,212","89,448","11,910"
COLORADO4,Metropolitan Statistical Area,Estimated total,100.00%,"15,365",127,4689,"2,963","9,547","123,592","21,419","90,164","12,009"
COLORADO4,Cities outside metropolitan areas,,"334,211",,,0,,,,,,
COLORADO4,COLORADO4,Area actually reporting,93.20%,735,15,287,60,469,"8,603","1,257","7,018",328
COLORADO4,COLORADO4,Estimated total,100.00%,790,16,316,64,503,"9,233","1,349","7,532",352
COLORADO4,Nonmetropolitan counties,,"357,645",,,0,,,,,,
COLORADO4,COLORADO4,Area actually reporting,99.60%,398,8,155,12,274,"2,674",701,"1,761",212
COLORADO4,COLORADO4,Estimated total,100.00%,399,8,155,12,275,"2,685",704,"1,768",213
COLORADO4,State Total,,"5,355,866","16,554",151,5160,"3,039","10,325","135,510","23,472","99,464","12,574"
COLORADO4,COLORADO4,"Rate per 100,000 inhabitants",,309.1,2.8,96.3,56.7,192.8,"2,530.10",438.2,"1,857.10",234.8
CONNECTICUT4,Metropolitan Statistical Area,,"2,948,198",,,0,,,,,,
CONNECTICUT4,Metropolitan Statistical Area,Area actually reporting,100.00%,"8,068",82,1199,"3,106","4,194","63,397","10,737","46,890","5,770"
CONNECTICUT4,Cities outside metropolitan areas,,"115,968",,,0,,,,,,
CONNECTICUT4,CONNECTICUT4,Area actually reporting,100.00%,108,2,19,22,73,"1,850",274,"1,499",77
CONNECTICUT4,Nonmetropolitan counties,,"532,511",,,0,,,,,,
CONNECTICUT4,CONNECTICUT4,Area actually reporting,100.00%,346,2,135,31,228,"3,823",944,"2,616",263
CONNECTICUT4,State Total,,"3,596,677","8,522",86,1353,"3,159","4,495","69,070","11,955","51,005","6,110"
CONNECTICUT4,CONNECTICUT4,"Rate per 100,000 inhabitants",,236.9,2.4,37.6,87.8,125,"1,920.40",332.4,"1,418.10",169.9
DELAWARE4,Metropolitan Statistical Area,,"935,614",,,0,,,,,,
DELAWARE4,Metropolitan Statistical Area,Area actually reporting,100.00%,"4,575",54,634,"1,269","2,867","27,899","5,768","20,864","1,267"
DELAWARE4,Cities outside metropolitan areas,,None,,,0,,,,,,
DELAWARE4,Nonmetropolitan counties,,None,,,0,,,,,,
DELAWARE4,DELAWARE4,Area actually reporting,100.00%,1,0,1,0,0,1,0,1,0
DELAWARE4,State Total,,"935,614","4,576",54,635,"1,269","2,867","27,900","5,768","20,865","1,267"
DELAWARE4,DELAWARE4,"Rate per 100,000 inhabitants",,489.1,5.8,67.9,135.6,306.4,"2,982.00",616.5,"2,230.10",135.4
"DISTRICT OF COLUMBIA4, 6",Metropolitan Statistical Area,,"658,893",,,0,,,,,,
"DISTRICT OF COLUMBIA4, 6",Metropolitan Statistical Area,Area actually reporting,100.00%,"8,199",105,824,"3,497","4,125","34,147","3,466","26,898","3,783"
"DISTRICT OF COLUMBIA4, 6",Cities outside metropolitan areas,,None,,,0,,,,,,
"DISTRICT OF COLUMBIA4, 6",Nonmetropolitan counties,,None,,,0,,,,,,
"DISTRICT OF COLUMBIA4, 6",Total,,"658,893","8,199",105,824,"3,497","4,125","34,147","3,466","26,898","3,783"
"DISTRICT OF COLUMBIA4, 6","DISTRICT OF COLUMBIA4, 6","Rate per 100,000 inhabitants",,"1,244.40",15.9,125,530.7,626.1,"5,182.50",526,"4,082.30",574.1
FLORIDA4,Metropolitan Statistical Area,,"19,186,005",,,0,,,,,,
FLORIDA4,Metropolitan Statistical Area,Area actually reporting,99.90%,"104,161","1,133",14170,"24,552","70,178","661,692","138,134","481,755","41,803"
FLORIDA4,Metropolitan Statistical Area,Estimated total,100.00%,"104,272","1,133",14188,"24,582","70,249","662,580","138,301","482,424","41,855"
FLORIDA4,Cities outside metropolitan areas,,"148,283",,,0,,,,,,
FLORIDA4,FLORIDA4,Area actually reporting,97.00%,921,4,91,163,701,"5,937","1,324","4,355",258
FLORIDA4,FLORIDA4,Estimated total,100.00%,949,4,93,168,723,"6,121","1,365","4,490",266
FLORIDA4,Nonmetropolitan counties,,"559,009",,,0,,,,,,
