State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
ALABAMA,Metropolitan Statistical Area,,"3,709,622",,,,,,,,,
ALABAMA,Metropolitan Statistical Area,Area actually reporting,94.30%,"20,207",322,"1,530","3,608","14,747","108,373","22,178","75,625","10,570"
ALABAMA,Metropolitan Statistical Area,Estimated total,100.00%,"20,570",324,"1,546","3,649","15,051","110,384","22,615","77,059","10,710"
ALABAMA,Cities outside metropolitan areas,,"531,555",,,,,,,,,
ALABAMA,ALABAMA,Area actually reporting,93.10%,"3,477",40,242,312,"2,883","19,161","3,685","13,976","1,500"
ALABAMA,ALABAMA,Estimated total,100.00%,"3,644",40,242,316,"3,046","19,996","3,817","14,634","1,545"
ALABAMA,Nonmetropolitan counties,,"646,694",,,,,,,,,
ALABAMA,ALABAMA,Area actually reporting,91.90%,"1,090",17,203,68,802,"6,737","2,238","3,710",789
ALABAMA,ALABAMA,Estimated total,100.00%,"1,185",19,208,111,847,"7,320","2,409","4,054",857
ALABAMA,State Total,,"4,887,871","25,399",383,"1,996","4,076","18,944","137,700","28,841","95,747","13,112"
ALABAMA,ALABAMA,"Rate per 100,000 inhabitants",,519.6,7.8,40.8,83.4,387.6,"2,817.20",590.1,"1,958.90",268.3
ALASKA,Metropolitan Statistical Area,,"343,648",,,,,,,,,
ALASKA,Metropolitan Statistical Area,Area actually reporting,100.00%,"4,127",30,645,772,"2,680","17,021","2,293","11,560","3,168"
ALASKA,Cities outside metropolitan areas,,"127,692",,,,,,,,,
ALASKA,ALASKA,Area actually reporting,97.10%,994,5,199,77,713,"4,119",642,"3,128",349
ALASKA,ALASKA,Estimated total,100.00%,"1,012",5,203,77,727,"4,164",646,"3,165",353
ALASKA,Nonmetropolitan counties,,"266,098",,,,,,,,,
ALASKA,ALASKA,Area actually reporting,100.00%,"1,387",12,344,47,984,"3,154","1,040","1,639",475
ALASKA,State Total,,"737,438","6,526",47,"1,192",896,"4,391","24,339","3,979","16,364","3,996"
ALASKA,ALASKA,"Rate per 100,000 inhabitants",,885,6.4,161.6,121.5,595.4,"3,300.50",539.6,"2,219.00",541.9
ARIZONA,Metropolitan Statistical Area,,"6,820,581",,,,,,,,,
ARIZONA,Metropolitan Statistical Area,Area actually reporting,99.30%,"28,938",325,"3,297","6,409","18,907","183,308","29,518","135,712","18,078"
